length	cima	cima_log
10000	0.114000	0.001000
20000	0.223000	0.001000
30000	0.334000	0.000000
40000	0.444000	0.000000
50000	0.640000	0.001000
60000	0.714000	0.001000
70000	0.802000	0.000000
80000	0.917000	0.001000
90000	1.083000	0.001000
100000	1.134000	0.001000
110000	1.261000	0.001000
120000	1.377000	0.001000
130000	1.492000	0.001000
140000	1.557000	0.001000
150000	1.743000	0.001000
160000	1.845000	0.001000
170000	1.953000	0.001000
180000	1.933000	0.000000
190000	2.147000	0.001000
200000	2.252000	0.001000
210000	2.392000	0.001000
220000	2.421000	0.001000
230000	2.779000	0.001000
240000	2.793000	0.000000
250000	2.766000	0.001000
260000	2.799000	0.001000
270000	2.977000	0.001000
280000	3.050000	0.001000
290000	3.272000	0.000000
300000	3.346000	0.000000
310000	3.350000	0.000000
320000	3.457000	0.001000
330000	3.616000	0.001000
340000	3.739000	0.001000
350000	3.788000	0.001000
360000	3.919000	0.001000
370000	4.022000	0.001000
380000	4.181000	0.001000
390000	4.388000	0.001000
400000	4.358000	0.000000
410000	4.445000	0.001000
420000	4.557000	0.001000
430000	4.797000	0.001000
440000	4.925000	0.001000
450000	4.879000	0.001000
460000	4.977000	0.001000
470000	5.296000	0.001000
480000	5.270000	0.001000
490000	5.310000	0.001000
500000	5.501000	0.001000
510000	5.547000	0.001000
520000	5.608000	0.001000
530000	5.935000	0.001000
540000	5.905000	0.001000
550000	5.935000	0.000000
560000	6.234000	0.001000
570000	6.323000	0.000000
580000	6.295000	0.001000
590000	6.601000	0.000000
600000	6.507000	0.001000
610000	6.782000	0.001000
620000	6.782000	0.001000
630000	6.825000	0.001000
640000	7.057000	0.000000
650000	7.056000	0.001000
660000	7.342000	0.001000
670000	7.271000	0.001000
680000	7.504000	0.000000
690000	7.621000	0.001000
700000	7.561000	0.001000
710000	7.776000	0.000000
720000	7.783000	0.001000
730000	8.287000	0.001000
740000	8.033000	0.000000
750000	8.542000	0.001000
760000	8.233000	0.001000
770000	8.376000	0.001000
780000	8.495000	0.001000
790000	8.655000	0.000000
800000	8.903000	0.001000
810000	8.783000	0.001000
820000	9.244000	0.001000
830000	8.998000	0.001000
840000	9.221000	0.001000
850000	9.189000	0.000000
860000	9.495000	0.001000
870000	9.597000	0.001000
880000	9.847000	0.001000
890000	9.653000	0.001000
900000	9.879000	0.001000
910000	9.946000	0.000000
920000	9.980000	0.001000
930000	10.159000	0.000000
940000	10.342000	0.001000
950000	10.584000	0.001000
960000	10.410000	0.000000
970000	10.922000	0.000000
980000	10.832000	0.000000
990000	10.757000	0.001000
